#DataThief C:\Users\Keisuke\Google Drive\0 Paper\58 Modeling Trichodesmium\Data Plot\Fig1ABermanFrank2001.PNG Wednesday 19-Sep-2018 10:16:20 AM,,,,,,,
c0,c1,c2,c3,c4,c5,c6,c7
t (h),t(h) adjusted,C fix,t0 (sunrise),t (h) (ave),C fix (ave),STDt,StdCfix
6.81131,1E-05,2.6588,6.8113,2.28007,3.278066667,1.812066373,0.734545525
9.2183,2.407,2.8654,,5.8926,1.9588,,
11.2445,4.4332,4.31,,8.8967,3.6699,,
12.7039,5.8926,1.9588,,14.65196667,0.077966667,4.10744537,0.02387081
15.708,8.8967,3.6699,,,,,
17.2095,10.3982,0.0496,,,,,
20.1644,13.3531,0.0763,,,,,
3.0159,20.2046,0.108,,,,,
