From Fig1BBermanFrank2001InvertedColor.txt,,,
c0,c1,c2,c3
t (h),t(h) adjusted,Fv/Fm,t0 (sunrise)
18.1588,11.3475,0.314,
17.9758,11.1645,0.3224,
17.7774,10.9661,0.3319,
17.6251,10.8138,0.3284,
17.7088,10.8975,0.3429,
17.7544,10.9431,0.3553,
18.0591,11.2478,0.3678,
18.2877,11.4764,0.3713,
18.4173,11.606,0.3752,
18.478,11.6667,0.4022,
17.9298,11.1185,0.3429,
18.1052,11.2939,0.3369,
18.3034,11.4921,0.3294,
18.4634,11.6521,0.3364,
18.7683,11.957,0.3359,
18.2576,11.4463,0.3429,
18.2269,11.4156,0.3628,
18.4479,11.6366,0.3633,
18.8366,12.0253,0.3633,
18.7524,11.9411,0.3932,
18.9809,12.1696,0.3961,
19.2173,12.406,0.3947,
18.8593,12.048,0.3772,
19.0422,12.2309,0.3807,
19.3471,12.5358,0.3713,
19.1945,12.3832,0.3777,
19.1719,12.3606,0.3623,
19.2711,12.4598,0.3477,
19.4008,12.5895,0.3404,
19.5228,12.7115,0.3354,
19.454,12.6427,0.3588,
19.6522,12.8409,0.3503,
19.7893,12.978,0.3613,
20.2545,13.4432,0.3324,
20.7269,13.9156,0.3409,
19.5603,12.749,0.3947,
19.9565,13.1452,0.4086,
19.8194,13.0081,0.3972,
20.0785,13.2672,0.3967,
19.8653,13.054,0.3832,
20.0102,13.1989,0.3713,
20.1247,13.3134,0.3573,
20.1396,13.3283,0.3837,
20.3226,13.5113,0.3832,
20.5817,13.7704,0.3827,
20.7799,13.9686,0.3743,
20.5514,13.7401,0.3548,
20.3533,13.542,0.3568,
20.2846,13.4733,0.3708,
20.5209,13.7096,0.3688,
18.6235,11.8122,0.3359,
10.9163,4.105,0.5138,
20.2695,13.4582,0.3498,
20.4902,13.6789,0.3902,
20.6581,13.8468,0.3658,
21.2374,14.4261,0.3608,
21.5269,14.7156,0.3718,
21.4051,14.5938,0.3513,
21.2986,14.4873,0.3349,
21.4359,14.6246,0.3204,
21.6261,14.8148,0.3558,
21.7786,14.9673,0.3453,
21.5348,14.7235,0.3394,
21.7102,14.8989,0.3279,
21.9845,15.1732,0.3424,
22.1522,15.3409,0.3338,
22.3656,15.5543,0.3369,
22.6398,15.8285,0.3548,
22.5027,15.6914,0.3458,
22.7847,15.9734,0.3453,
21.9618,15.1505,0.3259,
22.221,15.4097,0.3174,
21.8858,15.0745,0.297,
21.9395,15.1282,0.2696,
22.4724,15.6611,0.3249,
22.7393,15.928,0.3154,
22.6324,15.8211,0.3338,
22.8611,16.0498,0.3269,
22.9828,16.1715,0.3349,
23.1051,16.2938,0.3184,
23.1964,16.3851,0.3294,
23.3033,16.492,0.3105,
23.4481,16.6368,0.306,
23.6385,16.8272,0.3189,
23.7225,16.9112,0.307,
23.8902,17.0789,0.305,
23.8218,17.0105,0.2796,
23.2876,16.4763,0.3513,
23.303,16.4917,0.3389,
23.448,16.6367,0.3249,
23.6686,16.8573,0.3498,
23.9888,17.1775,0.3483,
23.5011,16.6898,0.3359,
23.4325,16.6212,0.3458,
