c0,c1,c2,c3,c4,c5
Time (h),Mid,Lower,Upper,DifLow,DifUp
0.0134,1.13E-03,,,,
1.0327,0.0263,0.0157,0.0375,0.0106,0.0112
2.0199,0.2833,0.1753,0.3933,0.108,0.11
4.0181,0.8955,0.7921,0.9969,0.1034,0.1014
8.0256,0.888,0.7873,0.9861,0.1007,0.0981
24.0273,0.2598,0.2511,0.2691,0.0087,0.0093
